0.501161,0.118170
0.502851,0.117886
0.503267,0.118404
0.502062,0.117760
0.501544,0.119886
0.500629,0.117435
0.501160,0.117100
0.502555,0.117066
0.502916,0.117781
0.501038,0.117246
0.502200,0.119017
0.501929,0.117265
0.501009,0.117116
0.500618,0.117579
0.501771,0.117159
0.500813,0.117439
0.500697,0.117470
0.500974,0.117239
0.501245,0.117558
0.501752,0.119290
0.501907,0.118376
0.501849,0.117353
0.503273,0.118145
0.501197,0.117215
0.501280,0.117179
0.502303,0.119020
0.501117,0.117243
0.502725,0.117188
0.503355,0.119360
0.501159,0.117960
0.501026,0.117407
0.501147,0.118122
0.502079,0.117871
0.501467,0.118140
0.501352,0.117110
0.503859,0.118170
0.501066,0.118437
0.501444,0.117402
0.501753,0.117305
0.502836,0.117373
0.502884,0.117068
0.502243,0.117102
0.501619,0.117213
0.502972,0.118793
0.504715,0.119115
0.501807,0.118089
0.501132,0.117291
0.503057,0.117066
0.501085,0.118544
0.503330,0.117297
i = 3144, k = 3144
m = 15
,i = 387, k = 3144
m = 15

i = 3144, k = 3144
m = 15
,i = 387, k = 3144
m = 15

i = 3144, k = 3144
m = 15
,i = 387, k = 3144
m = 15

i = 3144, k = 3144
m = 15
,i = 387, k = 3144
m = 15

i = 3144, k = 3144
m = 15
,i = 387, k = 3144
m = 15

total execution time : 0.050188 sec
,total execution time : 0.011970 sec

total execution time : 0.050679 sec
,total execution time : 0.011883 sec

total execution time : 0.050221 sec
,total execution time : 0.011759 sec

total execution time : 0.050570 sec
,total execution time : 0.011960 sec

total execution time : 0.500700 sec
,  -n
total execution time : 0.117873 sec

total execution time : 0.503023 sec
,  -n
total execution time : 0.117462 sec

total execution time : 0.500988 sec
, total execution time : 0.119051 sec

total execution time : 0.502515 sec
, total execution time : 0.117138 sec

total execution time : 0.503238 sec
, total execution time : 0.117809 sec

total execution time : 0.501083 sec, total execution time : 0.117121 sec
total execution time : 0.501732 sec, total execution time : 0.117068 sec
total execution time : 0.502998 sec, 
